Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCaus,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod,Start Date,End Date,Jurisdiction of Occurrence
2019,2,M,Non-Hispanic Black,15-24 years,382,69,,13,,0,,,0,0,,13,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,25-34 years,651,210,,16,16,0,14,,,,11,51,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,35-44 years,776,447,,57,41,0,13,,,11,,139,24,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,45-54 years,"1,444",1168,30,218,58,,16,25,15,35,17,390,55,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,55-64 years,"3,160",2840,53,678,166,,61,104,35,88,25,893,155,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,65-74 years,"3,531",3369,76,954,190,29,67,144,46,118,27,940,189,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,75-84 years,"2,639",2581,59,589,156,84,47,134,35,88,22,682,171,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic Black,85 years and over,"1,616",1586,28,255,53,124,36,79,20,65,15,446,95,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,0-4 years,470,405,,11,0,0,,,,0,48,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,5-14 years,114,60,,14,0,0,,,,0,,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,15-24 years,718,147,,32,,0,,,,,10,22,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,25-34 years,"1,708",479,15,72,23,0,24,,,,23,104,10,0,0,05/10/2021,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,35-44 years,"2,339",1108,20,199,43,0,38,17,15,,27,294,38,0,0,05/10/2021,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,45-54 years,"5,151",3856,51,916,194,,101,110,50,54,43,1190,117,0,0,05/10/2021,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,55-64 years,"13,047",11662,165,"3,439",512,36,284,716,150,169,98,3219,372,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,65-74 years,"19,818",18833,259,"5,705",833,191,407,1599,386,335,120,4841,724,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,75-84 years,"23,661",22743,357,"5,506",717,848,545,1835,484,495,189,6060,1107,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Non-Hispanic White,85 years and over,"23,921",22997,305,"3,284",445,"1,443",677,1355,423,526,280,7439,1385,0,0,05/10/2021,,,,,,,,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,0-4 years,44,39,0,0,0,0,0,0,0,0,,0,0,0,0,05/10/2021,,,,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,5-14 years,10,,0,,0,0,,0,0,0,0,0,0,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,15-24 years,37,,0,,0,0,0,0,0,0,0,,0,0,0,05/10/2021,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,25-34 years,65,21,0,,0,0,,0,0,0,0,,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,35-44 years,62,36,,,,0,,0,0,0,0,,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,45-54 years,92,72,0,11,,0,,,,,,22,,0,0,05/10/2021,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,55-64 years,221,182,,48,10,0,,,,,,65,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,65-74 years,279,261,,69,18,,,13,,,0,95,12,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,75-84 years,179,170,,45,,,,13,,,,47,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,2,M,Other,85 years and over,106,102,,15,,,,,,,0,31,,0,0,05/10/2021,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,02/01/2019,02/28/2019,United States
2019,3,F,Hispanic,0-4 years,205,193,0,,0,0,,0,,,17,,0,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,,03/01/2019,03/31/2019,United States
2019,3,F,Hispanic,5-14 years,44,28,0,,0,0,,0,,0,0,,,0,0,05/10/2021,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,03/01/2019,03/31/2019,United States
2019,3,F,Hispanic,15-24 years,106,41,0,17,0,0,,0,,0,,,,0,0,05/10/2021,,,,,,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,Counts between 1-9 have been suppressed in accordance with NCHS confidentiality standards.,,,03/01/2019,03/31/2019,United States
